title,link,published,source,timestamp
Iran war live: Iraq shuts down oil port operations; Israel bombs Beirut - Al Jazeera,https://news.google.com/rss/articles/CBMivwFBVV95cUxPd3FjakpBczNxTHRhOFRGQm42bHdGNVR6bWh1YURsR2lsZUJ6a2tsWGJWNDR4eUdiLU5iRE5aUk1PdUQ2YVRJWWdVbUFpbG1DTmllOTc5SEVGVkhaVEdNNGJUOU91U0VSWkJ6QVgzcVp5MGZzcG11RkVybVFTNm05XzFCX0I1blNhaFZnSm82dzRsUDQtMzVUMk1TTjluN0k3NURLN3I4bm90MExSeHYwR0RRd2NkRXoxVDJPcmxLSdIBxAFBVV95cUxNclNyWGhHS3lka1lHRVFVWDlEUFRXbTExOEtOM0ZFS1RKRXdoc05MZThoQ0hQbXRqb1ZyZ3J3S295LWh2ckt3RXJickN0UlU0UWo3V3RKQ0NxUXhMWTk1dEQ5NV9ldnZQWFh0bzRuRG4zLVRVTkZCS2pnTE1KUWVwV1otcjdody1HWlZleHdmOV95Mlg0cXJ6Yll1dTJVaHJ6cWZoLXdTSTJzYzBsQ3p6d3RQNUNNVG00eFU3SFo1Z20ya2p2?oc=5,"Thu, 12 Mar 2026 06:08:29 GMT",Al Jazeera,2026-03-12T17:26:48.924231
"Iran War Live Updates: Strikes in Beirut, Ship Attacks Near Strait of Hormuz and Oil Supply News - The New York Times - The New York Times",https://news.google.com/rss/articles/CBMiggFBVV95cUxQTGw5aUtrTzQxdWVlMTRkOXFWVFEwQ3FKQXRROUxkQk5MU3A4WDM1MVZWdE50dU9kdEJmT3BhNHFrYjduTXZCNzR6Q3ROLWVDdVNaVTZKc1NwNWRHVGg0MHRBcUdZZ1o4TlNGQlFNTHJrOFlRREhRT0tHandWZFJ1dnRn?oc=5,"Thu, 12 Mar 2026 03:48:00 GMT",The New York Times,2026-03-12T17:26:48.924265
Gas is just the start: What else the Iran war could soon cost you - CNN,https://news.google.com/rss/articles/CBMieEFVX3lxTE13bDJLZ3FsT2p4T2hKLWcyR3BHSW5zYXNHTTBMZXJ0akhOUDVrbU9kdmRTb3AzM1pVckd1OWxuWk1NVzNXekFITHlpOS1jRUtaRWVlbXpfZTRLNk11VTdrM1F4dTY2RFBWRVlSRUJLbjBqZ2p4bjY1SQ?oc=5,"Thu, 12 Mar 2026 11:00:33 GMT",CNN,2026-03-12T17:26:48.924275
Iran War Pushes Indian Firms to Pull $2.1 Billion of Bond Sales - Bloomberg,https://news.google.com/rss/articles/CBMiswFBVV95cUxOZTdDVTV6bVdWbVFXdy1xWDZISUdhNDlnS0NtNlVZbXd3dUFJc2lmTUktRWlFd3E1Ny1vY1JqNmdmaWIwOXE2VFYzRDFWSUUwaUdrMnRIYk5YWVBtTFFzUWdCdEJ5RTZ5Q1RTeGhrSGJkNElidzlrczRCa2dBS1p4UTVkSkhfbXAxLVdnMVFWM3pMVnctV2RfSXRVT2M2V0ZYZ2pob3c4ZmJUYkhYS2t0a1FDNA?oc=5,"Thu, 12 Mar 2026 11:34:05 GMT",Bloomberg,2026-03-12T17:26:48.924284
Will Iran war-linked leap in gas prices boost EV sales? - CBS News,https://news.google.com/rss/articles/CBMifkFVX3lxTE5xNGhYTUVhNXZLYVNhQnFxOVByTG1HTnVNUHI3ektnV05jNEFFNUxQRmdiMVVsVDBYZ0x6WndjRFB6Y3gwUDl5TU1sSXRCWTEycGV1XzBVVFFIQWhMSlVzc21ZdzlDaFpwTkVIOUFCTXVhN2tPa0FOY3B0b3diQdIBgwFBVV95cUxNY053aGtvUERpb19pX0hoQ1dNcEM5X0RvclpUbGRyVDQxWHRxS1VBWWt3dVFKdFhocENqdk1UM29jcTU5VE5odkRXSVIwVWd0a0ZqOW1RV1llRGZ6TWJHVVJkTFVhNm1RTGdPMlFxQUdLdFFsbTJ5b0JPTDFvWW9kYzJrZw?oc=5,"Thu, 12 Mar 2026 11:14:12 GMT",CBS News,2026-03-12T17:26:48.924293
"Iran appears to have conducted a significant cyberattack against a U.S. company, a first since the war started - NBC News",https://news.google.com/rss/articles/CBMitwFBVV95cUxPaHFTalZKVVozTHlVc1pWeVVzZWRDWVdmWEJCRkFSZVBoNm04elVxdWVIVnNyNndOcEFxSFJ6a2JCMGZaQVNvQzdaX3l0Wm5hclFXa0RhV3R4d2g1UEJPQzdaUkJkdWFCSnRSSTlJT1FteWdFOFlzSHdCTHVLNXlFV1pET091djlTV3A2R3FBR0I3WS0tazVwTW9jYWRFM3RodXB1QmdOTTRGOXNiRXhLQjRXeWF1T1E?oc=5,"Thu, 12 Mar 2026 01:42:00 GMT",NBC News,2026-03-12T17:26:48.924302
Pete Hegseth brings combative style as face of Trump's war in Iran - BBC,https://news.google.com/rss/articles/CBMiWkFVX3lxTE5MMGkyeUFXTkpwVjNlTDRIRHllVTJMUFBJa0I4MnppcUFvcklDWUxlTzFfRjk3dFZQTUo0QjVUMHc3Y0xkZXI1eW1yUjB2U1RFLXZtc2d3YnBjdw?oc=5,"Wed, 11 Mar 2026 19:13:29 GMT",BBC,2026-03-12T17:26:48.924310
Ending Iran War Quickly Carries Big Risks for the U.S. and Allies - WSJ,https://news.google.com/rss/articles/CBMitgNBVV95cUxPLXdWUndiaEpNWjVNbkxSLTc4UWlhaDg1SGFSbWxtQnpOam84amR0X2RXN0lVS2cyX1htLU5VUFlRdmR4Yjd0c0xpdmRKNjZyaTFqMmdJUDRsaDNqTkVEeGNocUZkYXY2dEtPNDdPSmFuY2VEcXE4QU9ZX1UtX29obmJKN0E0UVZZTkJNMHAyTjEzb3dZLUxBSldhaDhjVWRiLXRYWHA4VW8wRjJCSzVOcnVxbjVPVjVXVmZ3bzNKWHhJTDlXTkVwNno4NF9tSkp0M0JEWTNselNlZDNyY2Iwa3kzSTJjSzFjSS1NaUZxSVRkVU1pcGtoMmFTS05NMTM1N0d2a2ZteFdodHNQc0dGM2REeG5ONGpwQlBaM2VONXlQYmRuOTdkLXpiV2VuSmF2WEN3TDdtWkV3UzdSdnczMXdBNExaVmNiY0NOa3NsSndYRnJuU1FTMzZIV09UdDMzVllvYnJORjdOUzhTVkpDXzRrajFLNi01RVQyb3dnTWJpWmxzRGNySVNlU2pkMVFMODJVMGhKQlZwMVkyai1xREJwUXFsYlpIM0t0RXkwS2FkX0d4cnc?oc=5,"Thu, 12 Mar 2026 01:00:00 GMT",WSJ,2026-03-12T17:26:48.924319
FBI warns Iran aspired to attack California with drones in retaliation for war: Alert - abcnews.com,https://news.google.com/rss/articles/CBMiowFBVV95cUxOQ2hlRlY5RFh4YWgtOFBHaFNnc1dKRXh6Q243VXU0bUFUWk5TeThyVFM2Yk1jWUpnYWRUQkV6eGhZM3YzNzBzY296NXNwRlRXbWl1eFFVb0dvckZ4aUhsVHctOERRMkJJRTNZbVo1ZjVqejViYWxuaDRIY2Q0STZ2al9EVHlXVlgtbE9lSVhQbjZCSzZwTmtpM01uUWdxS2tPLWRj0gGoAUFVX3lxTE1wUUM0QkFNelExVzUzcVBxdnM2c1l4bklTdndFT3pzcEZVQXZkOVA0VHFRYXREZjAtcVhXcktBVi12VEZ6dVFRcEpVSEJZb0thLUs3NGY1d2pBV3BJOXdBS2NkWnJ1T0RrTWpzNm8yS2R5Q3ZnaDYyYmRMejdKYm5kd2RNZmhZOE9BdHRrU1NfdmlicXJUR3hZMDVTQldmN3lCWUFFYWIxdw?oc=5,"Wed, 11 Mar 2026 23:56:20 GMT",abcnews.com,2026-03-12T17:26:48.924327
Iran sends millions of oil barrels to China through Strait of Hormuz even as war chokes the waterway - CNBC,https://news.google.com/rss/articles/CBMihwFBVV95cUxQSmRCOVlVaEE0MEFTNWlKTVo2eTU2eU5yUl9fU2RHTU51Rm9DNDdqWWc2XzJnWGQzSTZPM2g0OVc1QjBuS2hyb2VRMmFob2dRNDE5Z3VQZGdnaHJnVGc0QjF4ME5SOEk3UTJpLVZ0aDhQdGFFdzg0b2Y4TzNKZ01rSnBWOXA3a3fSAYwBQVVfeXFMTUNxSE1wejBYcUF3YkFsQ1FOYUdyRjBoZWdlNzYweHY4aDJPSUhpVUMxNTNsZE1LZ2Z1MGRJd0tBLXNoU2RNa1ZSSWxRbk1WTUpIMGozWTBvMGl5c2VEdUNCc3J2YUZZcmhMWGd5cTV1YTEwWU9tRnVrWlFUVHFYM1dWT2lmUGNWc2hXbE4?oc=5,"Wed, 11 Mar 2026 03:49:00 GMT",CNBC,2026-03-12T17:26:48.924336
