title,link,published,source,timestamp
Zohran Mamdani and the business exodus? New York's office real estate market is up under new mayor - CNBC,https://news.google.com/rss/articles/CBMilwFBVV95cUxQc0pIYVJaNDRCY0FHVkJ1R29xVGpzVG9GYVpMLUI5S196SERfSlJ2SWFCZV90SlpqTUJKMzlzWWI2Z2VVY21XU3FkNUpUNUNCVDhFaXlHYjFxSm4tZVpBdnBrcWo4Y0Q3NHRnQ3VsUFFLc1JmWkxxZFh3TXdLMkp6VHFlYVRBTExnVWlNX0ZBbnN2c052Rzlj0gGcAUFVX3lxTE1jQUdGNGdOdldPWW1wNVlUYXkyckFxRjBWWDVYeU5pT1FiSThPQ1luNjJaVlhFSzN5cnFkWURlWUhEUXg3dmF4QzNBWkRGNkJQdGVNM1huVEJMOVRhZzhsVjVzRWxtQXlMYU9vaVRXYUhLRzU5Sk9wdDlTWFNJQ0E3LWFpeFNOSzY3ZHM4T3ZObnNIR3F0QWMxSTJ4RA?oc=5,"Sun, 05 Apr 2026 15:31:55 GMT",CNBC,2026-04-07T12:51:17.898513
I run a marketing business that lost work and had to cut staff due to AI. I'm still more excited by AI than worried. - Business Insider,https://news.google.com/rss/articles/CBMimgFBVV95cUxOYmlKM1B5X291WGlhTzlOVnlSenZDX0lPTU5PTW5pdmtiNkhGekVFV0lUeG9TUERIWkc1RUJLMFlkWElmLWdoMk8tNExLNFBMeEtzUGllYkZOb0lCdzJhZS0xS2VQVFphMHAwWXh6THFIekFKVXp0OG9tb2RTZHZCc1JCNTVKdkZUQ292TEx2M0FSTDl3YzBnTi1B?oc=5,"Mon, 06 Apr 2026 09:11:00 GMT",Business Insider,2026-04-07T12:51:17.898533
Oil rises above $110 as Trump deadline looms for Iran to reopen strait – business live - The Guardian,https://news.google.com/rss/articles/CBMi0gFBVV95cUxNQkhtZlRxaFZmTThfSXZQQks2RW40cmQ0N0pldFdrVlMyS04tTnM3NVRTb3U1UUliYUR2V2xjczlWLWZGUmtuLWgycGhiWG1abDJiZGpYY2tudEZlRTB4MUV5RktqOFR3SHFzdTdickQ5R25oSTVSVl9rNDM1VUZhalZBUndBSlVSMXFpVC1xNmpHbkMwQ3RJVGVZR29LdF94bzk1YklPRGdINEtRQnJJX2g4eTl4Zy1GVFh0LW41VzhXMFZ5amRGNEVQYVNLVzdyTEE?oc=5,"Tue, 07 Apr 2026 06:29:00 GMT",The Guardian,2026-04-07T12:51:17.898538
Look: Alaska Airlines unveils new business class for long-haul flights - USA Today,https://news.google.com/rss/articles/CBMivwFBVV95cUxNU2ZXS2R4ckRzXzRkaE52WGU2YjctY1pWRnZuLWw5TmRkUHBfWGhUUlBEYmZkZk9vdF9PY2x5eG5zNzg2bXVHdk4wX2E0UERDbUpFT0VqaWR4TVVnTTR0XzhEcFhoZzVsYzNTcGJaOHNLdTNCM04ySUwwU3BpRy12a2NrNHlEMUF2OHFyem9DdmNoZWxiTmpJSG1tT1RGVV8tdEhHN0FXTF82bk5fN0VmYXU0RllkX3hldm5OUWVlUQ?oc=5,"Tue, 07 Apr 2026 07:00:00 GMT",USA Today,2026-04-07T12:51:17.898542
Marcus Buckingham Says Love Drives Business Performance - Forbes,https://news.google.com/rss/articles/CBMivwFBVV95cUxOUHdrbkxtZlNyLVpuUlJwMHp1OEE2NnhwSzBqTmQtcEFXdnZwajJrNTFFYzlra0dzdi11ay1LN1ZZZkV0Nlg2Z1VScWRMUndpc1JBYUtqaWNIcGh1T3ZpU2ltb2VhekV6ZFlwNnhiYnJZM0trTHlORWVVNGx4WGt3RFEwWkpwVnpMNFNiMmdqQ2ZYZ3YwSVdSaGhKejJWTXUxRXZBSGMyMGhEWmVWdDIyUUFGWnByTDZ2Q0d6Ylh6SQ?oc=5,"Tue, 07 Apr 2026 06:00:00 GMT",Forbes,2026-04-07T12:51:17.898547
"China could target US homeland if Iran conflict escalates, expert warns - Fox Business",https://news.google.com/rss/articles/CBMiowFBVV95cUxQR0NzeUZxdW9kUXN0SF9NSzJLWmpCMDltZWV6X2VxQTExS3hNaTNsRlpfWTZ1RVlWaTJsQ2w4SzZqdDRiZDRCMTRRSFZITGtlZDlXbUlGWXllLUczMFZMUlhWZklBQWwzMjdwWkdZcVh6cFZZbF91UHhSbVJSMmk3OXc5NEFQZFNMaWJJUTdWYk5sck00b3p1Sl9Ca0hwMFhLWklV0gGoAUFVX3lxTE1GZE92RHVnWlREb3JHVWwyNHJKV0VRWnExazZieDlkSnloeVUwaktwTl9YSm52WTFzS1piSW0tTmp4Y190MUZmMjZ6RVQzNktkUmJ0cmlRdWJ6MWFYbFlYY0tKTzh5dmEzUE94emltS2tSb1BNa0NGcFNxY184ckswMFRRNVh6RXR5eXVEdnV5Rko5VUdLcHl4cjZqUGhoMGg2Zm5KOEJlUQ?oc=5,"Mon, 06 Apr 2026 15:18:00 GMT",Fox Business,2026-04-07T12:51:17.898552
Kanye West was booked as a festival headliner. Brands are now pulling their sponsorship - CNN,https://news.google.com/rss/articles/CBMimgFBVV95cUxQVERBcFgwSWczQkd2NHllRUI2RkswSXZIRF9pbHNsZWF6b2JtR2kwb0RjMFEzSFBuUlFBVDRNbmlLNmE2OGNBU01SZ2FGVnVfdWtqQndZSEJKcHNMRWd1ZEIyc1VBOGFnVVZxTGFWa3pidGRZYWYwTE05MGRneWhLc1dRSVVEc1BEYkhNMmdLYlZZVERxTnA1YjdR?oc=5,"Mon, 06 Apr 2026 11:56:09 GMT",CNN,2026-04-07T12:51:17.898556
6 side hustle businesses you can launch with $0 - Fast Company,https://news.google.com/rss/articles/CBMiigFBVV95cUxONzdLLVdBSkp5bUlVMVVvR040ZEtEQWdZZWJSTzZzREZfSlo1Q19OcXZsLTNXWnhId3YwVUhHZkYtdW1ySEpkRVFzS0h1bFc4blhhbWVBb3lUemNJZHFfdFMzTklhOFVpb0Y4SldrZVJ0cnMxTlNJU1FNN3JKRXc0WkZVRmlQSkswMVE?oc=5,"Mon, 06 Apr 2026 19:22:51 GMT",Fast Company,2026-04-07T12:51:17.898561
The Business of KAWS: What Data and a Museum Show Reveal About His Market - Artnet News,https://news.google.com/rss/articles/CBMieEFVX3lxTFBkUE9GWFBIYnI3a1pycjE4YmVYb2J6WW51anY4ZEc2QURkSS1mbGxCcndOcnBqeUFrajhoVU5fSmN1TDlzdy1HcXVaendEUVNaNWpoSUp0dExheEdueHRDNExyd25felZOaHJHdGlZank3TlpyQTlxSdIB4AFBVV95cUxOVnlnTzdJRzYtYWlmWDJHb1NwQVZ0TEJUQ1ZIUzZZdFJSQ0oxQUlmMGYxckktcVBaQWE3Z0E2dXhEUTV0aXNGcnFUcnZuT3N2T3hTcTlDSE1Jd1dOV1BzMEhRbjBqSUk4bE5US05COU1JQzVYUVRMNFNYX2kyQzZWeDUyQ21wMnhSOFNGY1YtYnhsVHhSRk9mMGRUSGEwZlQ0UFlXYVdvYmZ6alpNZFJfczdvc2xUZ19LMmNCbFV6WEI5bzBEOUFjbDhWeUVlV3hCcFhBX2xJT01Najd4YVozVQ?oc=5,"Mon, 06 Apr 2026 08:12:38 GMT",Artnet News,2026-04-07T12:51:17.898565
"Billionaire candidate for California governor catching heat for past business interests, wealth - latimes.com",https://news.google.com/rss/articles/CBMi3wFBVV95cUxOQ1Y4QlR3S0hqb0kzbmhaTUk1aVRibGtZMTdWQmFCcTBoYjJqa19FYXZLazVBajk5UlBhYUVIUGFhOURtZG9abDJVRXMzM0p0QnlaX2pLRFc3Z19USkVUYlJoWmVUXzR1MXB1OFM4VHFhVV9aUlF6by1IeEg1LXlqMVpweEpuU2tMSHJ4bVVBaWFUNG5ZWkpQSG5teW9lVUZRUzdvOFJ2QlZaaUtScWxQTFpKMkdHWklhNkxuSlFNUHg0SDZoUXlDTHN1OU8xX0dOc21mZ1l2WThPbkxUelJr?oc=5,"Mon, 06 Apr 2026 10:00:00 GMT",latimes.com,2026-04-07T12:51:17.898569
